date,place,risk_score
2020-08-31,Valley Village,92.98901063984563
2020-09-01,Valley Village,83.99038117385285
2020-09-02,Valley Village,76.55163030635697
2020-09-03,Valley Village,67.05911029241727
2020-09-04,Valley Village,57.59728284218129
2020-08-31,Van Nuys,142.88629598914798
2020-09-01,Van Nuys,130.1010339064294
2020-09-02,Van Nuys,120.41160579909847
2020-09-03,Van Nuys,107.19542508795617
2020-09-04,Van Nuys,93.61463509472438
2020-08-31,Venice,77.8048295889751
2020-09-01,Venice,74.73589683078416
2020-09-02,Venice,69.19373478128891
2020-09-03,Venice,61.627885040603694
2020-09-04,Venice,54.10195320547874
2020-08-31,West Hills,123.7611808218897
2020-09-01,West Hills,110.63215868732271
2020-09-02,West Hills,100.76314723151113
2020-09-03,West Hills,88.1989251300017
2020-09-04,West Hills,75.65424776655487
2020-08-31,Wilmington,201.78452913857836
2020-09-01,Wilmington,175.93567749024527
2020-09-02,Wilmington,159.32724298556855
2020-09-03,Wilmington,138.58419917906318
2020-09-04,Wilmington,117.98819998125032
2020-08-31,Winnetka,135.2525510064065
2020-09-01,Winnetka,133.26536538427388
2020-09-02,Winnetka,123.75369096862553
2020-09-03,Winnetka,111.0409706043334
2020-09-04,Winnetka,98.1579310715527
2020-08-31,Woodland Hills,172.60828443015637
2020-09-01,Woodland Hills,174.45289567123555
2020-09-02,Woodland Hills,165.6045844838315
2020-09-03,Woodland Hills,152.49236724112993
2020-09-04,Woodland Hills,138.64556701504316
