new_date,confirmed_predicted,confirmed_high,confirmed_low,death_predicted,death_high,death_low
2020-08-14,219499.0,236743.0,202255.0,5240.0,5628.0,4852.0
2020-08-15,221859.0,239103.0,204615.0,5298.0,5686.0,4910.0
2020-08-16,224446.0,241690.0,207202.0,5355.0,5743.0,4967.0
2020-08-17,227057.0,244301.0,209813.0,5414.0,5802.0,5026.0
2020-08-18,229732.0,246976.0,212488.0,5475.0,5863.0,5087.0
2020-08-19,232502.0,249746.0,215258.0,5539.0,5927.0,5151.0
2020-08-20,235396.0,252640.0,218152.0,5606.0,5994.0,5218.0
2020-08-21,238420.0,255664.0,221176.0,5675.0,6063.0,5287.0
